mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_close,mini_dow_low,mini_dow_volume,predict
2019-08-05,17:59:00,25458,25462,25157,25109,15016,0
2019-08-05,18:59:00,25158,25219,25095,25032,9840,0
2019-08-05,19:59:00,25096,25252,25227,25078,10111,0
2019-08-05,20:59:00,25224,25480,25359,25212,15780,0
2019-08-05,21:59:00,25361,25397,25360,25284,5492,0
2019-08-05,22:59:00,25362,25616,25615,25351,8560,0
2019-08-05,23:59:00,25616,25720,25545,25527,11069,0
2019-08-06,00:59:00,25544,25632,25597,25533,6851,0
2019-08-06,01:59:00,25594,25651,25634,25576,7761,0
2019-08-06,02:59:00,25633,25717,25637,25610,10261,0
2019-08-06,03:59:00,25636,25764,25746,25580,11678,0
2019-08-06,04:59:00,25747,25809,25766,25732,7530,0
2019-08-06,05:59:00,25767,25790,25743,25739,5900,0
2019-08-06,06:59:00,25743,25855,25798,25731,9758,0
2019-08-06,07:59:00,25798,25839,25760,25750,10773,0
2019-08-06,08:59:00,25760,25897,25812,25752,43667,0
2019-08-06,09:59:00,25811,25878,25781,25709,39018,0
2019-08-06,10:59:00,25781,25788,25766,25659,28341,0
2019-08-06,11:59:00,25766,25820,25738,25725,19989,0
2019-08-06,12:59:00,25738,25877,25853,25736,19435,0
2019-08-06,13:59:00,25853,25983,25917,25804,24839,0
2019-08-06,14:59:00,25916,25989,25983,25880,23605,0
2019-08-06,15:59:00,25983,25998,25920,25910,9339,0
2019-08-06,16:00:00,25921,25922,25920,25919,38,0
2019-08-06,17:59:00,25897,25921,25903,25892,1859,0
2019-08-06,18:59:00,25902,25902,25848,25818,3963,0
2019-08-06,19:59:00,25848,25861,25859,25810,4455,0
2019-08-06,20:59:00,25857,25902,25820,25802,9619,0
2019-08-06,21:59:00,25821,25832,25784,25739,6566,0
2019-08-06,22:59:00,25784,25808,25797,25740,3772,0
2019-08-06,23:59:00,25798,25827,25786,25786,3100,0
2019-08-07,00:59:00,25787,25871,25847,25774,4213,0
2019-08-07,01:59:00,25846,25897,25896,25830,5443,0
2019-08-07,02:59:00,25897,25961,25958,25843,5829,0
2019-08-07,03:59:00,25956,26003,25982,25930,6291,0
2019-08-07,04:59:00,25984,26035,26025,25963,4760,0
2019-08-07,05:59:00,26026,26034,25994,25993,3340,0
2019-08-07,06:59:00,25994,26001,25913,25912,6857,1
2019-08-07,07:59:00,25913,25917,25671,25656,20366,1
2019-08-07,08:59:00,25673,25689,25525,25392,44546,0
2019-08-07,09:59:00,25524,25753,25733,25455,50356,0
2019-08-07,10:59:00,25733,25748,25656,25601,37455,0
2019-08-07,11:59:00,25655,25752,25740,25599,26607,0
2019-08-07,12:59:00,25739,25919,25859,25736,28341,0
2019-08-07,13:59:00,25859,25957,25940,25819,29651,0
2019-08-07,14:59:00,25940,26027,26004,25889,34400,0
2019-08-07,15:59:00,26003,26005,25938,25921,5479,0
2019-08-07,16:00:00,25938,25940,25932,25932,32,0
2019-08-07,17:59:00,25935,25975,25968,25903,1716,0
2019-08-07,18:59:00,25966,25987,25886,25879,2621,0
2019-08-07,19:59:00,25885,25910,25871,25865,3338,0
2019-08-07,20:59:00,25870,26044,26038,25846,9563,0
2019-08-07,21:59:00,26037,26041,25956,25945,4017,0
2019-08-07,22:59:00,25955,26054,26046,25954,3331,0
2019-08-07,23:59:00,26046,26058,26028,26006,3127,0
2019-08-08,00:59:00,26028,26054,26043,26016,2433,0
2019-08-08,01:59:00,26043,26075,26059,26018,3105,0
2019-08-08,02:59:00,26055,26061,26001,25968,5999,0
2019-08-08,03:59:00,26002,26012,25994,25930,4903,0
2019-08-08,04:59:00,25993,26035,26007,25975,3776,0
2019-08-08,05:59:00,26007,26033,25972,25963,3741,0
2019-08-08,06:59:00,25972,25988,25971,25934,8597,0
2019-08-08,07:59:00,25972,26052,26046,25970,7554,0
2019-08-08,08:59:00,26045,26126,26107,26003,34275,0
2019-08-08,09:59:00,26106,26181,26163,26087,26628,0
2019-08-08,10:59:00,26163,26249,26235,26124,20458,0
2019-08-08,11:59:00,26236,26313,26310,26236,17709,0
2019-08-08,12:59:00,26312,26328,26295,26251,12857,0
2019-08-08,13:59:00,26296,26299,26277,26230,14442,0
2019-08-08,14:59:00,26277,26358,26339,26240,22061,0
2019-08-08,15:59:00,26339,26373,26361,26334,8183,0
2019-08-08,16:00:00,26361,26365,26361,26361,32,0
2019-08-08,17:59:00,26286,26308,26248,26171,8358,0
2019-08-08,18:59:00,26246,26348,26330,26216,3993,0
2019-08-08,19:59:00,26332,26352,26294,26278,4944,0
2019-08-08,20:59:00,26292,26320,26302,26261,4314,0
2019-08-08,21:59:00,26301,26311,26284,26270,1649,0
2019-08-08,22:59:00,26283,26288,26281,26241,2857,0
2019-08-08,23:59:00,26280,26285,26267,26247,1278,0
2019-08-09,00:59:00,26267,26284,26260,26258,1842,0
2019-08-09,01:59:00,26260,26299,26295,26256,3010,0
2019-08-09,02:59:00,26295,26298,26264,26241,4054,0
2019-08-09,03:59:00,26263,26274,26265,26233,3499,0
2019-08-09,04:59:00,26266,26294,26237,26228,3450,0
2019-08-09,05:59:00,26237,26253,26233,26208,3345,0
2019-08-09,06:59:00,26234,26236,26218,26189,4373,0
2019-08-09,07:59:00,26217,26275,26254,26208,6114,0
2019-08-09,08:59:00,26253,26354,26250,26232,24162,0
2019-08-09,09:59:00,26249,26293,26193,26112,38296,0
2019-08-09,10:59:00,26194,26200,26086,26074,28047,0
2019-08-09,11:59:00,26085,26299,26224,26085,30355,0
2019-08-09,12:59:00,26224,26341,26302,26204,26960,0
2019-08-09,13:59:00,26304,26336,26300,26269,17016,0
2019-08-09,14:59:00,26301,26394,26266,26255,28154,0
2019-08-09,15:59:00,26266,26306,26295,26254,7819,0
2019-08-09,16:00:00,26296,26301,26296,26295,18,0
2019-08-11,17:59:00,26263,26323,26267,26262,2265,0
2019-08-11,18:59:00,26268,26283,26212,26197,2409,0
2019-08-11,19:59:00,26210,26264,26253,26203,3491,0
2019-08-11,20:59:00,26250,26321,26304,26246,3785,0
2019-08-11,21:59:00,26302,26328,26312,26287,2099,0
2019-08-11,22:59:00,26311,26327,26301,26293,1090,0
2019-08-11,23:59:00,26299,26304,26280,26276,1104,0
2019-08-12,00:59:00,26279,26308,26303,26271,1364,0
2019-08-12,01:59:00,26303,26325,26299,26294,2320,0
2019-08-12,02:59:00,26299,26353,26316,26296,5048,1
2019-08-12,03:59:00,26315,26317,26157,26130,10728,0
2019-08-12,04:59:00,26156,26172,26143,26117,6159,0
2019-08-12,05:59:00,26142,26144,26102,26052,7044,0
2019-08-12,06:59:00,26104,26132,26084,26029,6142,0
