mtx_date,mtx_time,mtx_open,mtx_high,mtx_close,mtx_low,mtx_volume,predict
2020-12-15,15:30:00,14111.0,14117.0,14122.0,14109.0,1020.0,0
2020-12-15,15:45:00,14117.0,14111.0,14121.0,14110.0,600.0,0
2020-12-15,16:00:00,14111.0,14117.0,14123.0,14109.0,1334.0,0
2020-12-15,16:15:00,14117.0,14121.0,14121.0,14114.0,369.0,0
2020-12-15,16:30:00,14120.0,14135.0,14139.0,14118.0,2499.0,0
2020-12-15,16:45:00,14136.0,14133.0,14138.0,14133.0,594.0,0
2020-12-15,17:00:00,14134.0,14135.0,14141.0,14132.0,930.0,0
2020-12-15,17:15:00,14135.0,14134.0,14135.0,14131.0,349.0,0
2020-12-15,17:30:00,14133.0,14132.0,14136.0,14131.0,302.0,0
2020-12-15,17:45:00,14132.0,14132.0,14138.0,14132.0,348.0,0
2020-12-15,18:00:00,14132.0,14124.0,14135.0,14123.0,759.0,0
2020-12-15,18:15:00,14124.0,14124.0,14130.0,14124.0,404.0,1
2020-12-15,18:30:00,14123.0,14127.0,14131.0,14123.0,377.0,0
2020-12-15,18:45:00,14127.0,14126.0,14129.0,14126.0,160.0,0
2020-12-15,19:00:00,14125.0,14126.0,14133.0,14125.0,278.0,0
2020-12-15,19:15:00,14126.0,14128.0,14130.0,14126.0,121.0,0
2020-12-15,19:30:00,14127.0,14123.0,14127.0,14119.0,612.0,1
2020-12-15,19:45:00,14123.0,14123.0,14129.0,14121.0,284.0,0
2020-12-15,20:00:00,14123.0,14135.0,14135.0,14123.0,580.0,0
2020-12-15,20:15:00,14134.0,14132.0,14136.0,14128.0,465.0,0
2020-12-15,20:30:00,14133.0,14129.0,14135.0,14129.0,228.0,0
2020-12-15,20:45:00,14129.0,14127.0,14132.0,14126.0,372.0,0
2020-12-15,21:00:00,14128.0,14132.0,14133.0,14128.0,188.0,0
2020-12-15,21:15:00,14133.0,14148.0,14157.0,14131.0,2477.0,0
2020-12-15,21:30:00,14148.0,14159.0,14165.0,14148.0,3115.0,0
2020-12-15,21:45:00,14159.0,14165.0,14170.0,14152.0,1502.0,0
2020-12-15,22:00:00,14165.0,14161.0,14173.0,14161.0,1213.0,0
2020-12-15,22:15:00,14162.0,14162.0,14166.0,14160.0,612.0,0
2020-12-15,22:30:00,14162.0,14164.0,14172.0,14154.0,1949.0,0
2020-12-15,22:45:00,14164.0,14168.0,14175.0,14160.0,1912.0,0
2020-12-15,23:00:00,14168.0,14164.0,14172.0,14159.0,1163.0,0
2020-12-15,23:15:00,14165.0,14166.0,14171.0,14162.0,724.0,0
2020-12-15,23:30:00,14165.0,14162.0,14171.0,14158.0,768.0,0
2020-12-15,23:45:00,14163.0,14163.0,14166.0,14160.0,571.0,0
2020-12-16,00:00:00,14163.0,14158.0,14165.0,14148.0,1493.0,0
2020-12-16,00:15:00,14159.0,14160.0,14164.0,14155.0,535.0,0
2020-12-16,00:30:00,14160.0,14165.0,14169.0,14159.0,470.0,0
2020-12-16,00:45:00,14165.0,14161.0,14166.0,14157.0,312.0,0
2020-12-16,01:00:00,14161.0,14172.0,14175.0,14161.0,821.0,0
2020-12-16,01:15:00,14172.0,14172.0,14175.0,14171.0,229.0,0
2020-12-16,01:30:00,14172.0,14185.0,14187.0,14170.0,1564.0,0
2020-12-16,01:45:00,14184.0,14187.0,14188.0,14182.0,347.0,0
2020-12-16,02:00:00,14186.0,14194.0,14196.0,14186.0,863.0,0
2020-12-16,02:15:00,14194.0,14189.0,14198.0,14189.0,337.0,0
2020-12-16,02:30:00,14190.0,14191.0,14195.0,14187.0,274.0,0
2020-12-16,02:45:00,14191.0,14195.0,14196.0,14190.0,105.0,0
2020-12-16,03:00:00,14195.0,14200.0,14202.0,14189.0,626.0,0
2020-12-16,03:15:00,14201.0,14202.0,14207.0,14198.0,573.0,0
2020-12-16,03:30:00,14201.0,14203.0,14207.0,14199.0,165.0,0
2020-12-16,03:45:00,14203.0,14201.0,14205.0,14198.0,180.0,0
2020-12-16,04:00:00,14202.0,14204.0,14208.0,14201.0,365.0,0
2020-12-16,04:15:00,14204.0,14205.0,14209.0,14203.0,340.0,0
2020-12-16,04:30:00,14206.0,14196.0,14207.0,14196.0,512.0,0
2020-12-16,04:45:00,14196.0,14194.0,14199.0,14192.0,1015.0,1
2020-12-16,05:00:00,14195.0,14195.0,14200.0,14194.0,96.0,0
2020-12-16,08:45:00,14194.0,14195.0,14206.0,14186.0,4828.0,0
2020-12-16,09:00:00,14195.0,14203.0,14231.0,14188.0,12266.0,0
2020-12-16,09:15:00,14204.0,14240.0,14250.0,14197.0,10983.0,1
2020-12-16,09:30:00,14240.0,14267.0,14274.0,14227.0,11048.0,1
2020-12-16,09:45:00,14267.0,14276.0,14290.0,14262.0,8976.0,0
2020-12-16,10:00:00,14275.0,14279.0,14300.0,14271.0,6071.0,0
2020-12-16,10:15:00,14279.0,14279.0,14292.0,14274.0,2994.0,0
2020-12-16,10:30:00,14280.0,14284.0,14287.0,14265.0,3605.0,1
2020-12-16,10:45:00,14284.0,14299.0,14303.0,14278.0,3504.0,0
2020-12-16,11:00:00,14299.0,14291.0,14309.0,14288.0,2911.0,0
