mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_low,mini_dow_close,mini_dow_volume,predict
2020-01-09,11:00:00,28944.0,28890.0,28846.0,28953.0,17582,0
2020-01-09,12:00:00,28890.0,28893.0,28865.0,28914.0,12101,0
2020-01-09,13:00:00,28893.0,28918.0,28887.0,28934.0,10477,0
2020-01-09,14:00:00,28919.0,28926.0,28891.0,28934.0,15814,0
2020-01-09,15:00:00,28926.0,28926.0,28917.0,28938.0,5252,0
2020-01-09,16:00:00,28926.0,28924.0,28924.0,28926.0,35,0
2020-01-09,17:00:00,28930.0,28949.0,28925.0,28960.0,1766,0
2020-01-09,18:00:00,28949.0,28983.0,28945.0,28998.0,4857,0
2020-01-09,19:00:00,28983.0,28987.0,28972.0,28998.0,2773,0
2020-01-09,20:00:00,28986.0,28991.0,28977.0,28992.0,1307,0
2020-01-09,21:00:00,28992.0,29000.0,28986.0,29002.0,1000,0
2020-01-09,22:00:00,29000.0,29001.0,28995.0,29009.0,965,0
2020-01-09,23:00:00,29000.0,29008.0,28992.0,29013.0,970,0
2020-01-10,00:00:00,29009.0,29007.0,28999.0,29022.0,1863,0
2020-01-10,01:00:00,29006.0,28997.0,28987.0,29015.0,2433,0
2020-01-10,02:00:00,28997.0,28978.0,28958.0,29000.0,4532,0
2020-01-10,03:00:00,28978.0,28988.0,28963.0,28990.0,2965,0
2020-01-10,04:00:00,28988.0,28982.0,28980.0,28998.0,2528,0
2020-01-10,05:00:00,28981.0,28993.0,28981.0,29009.0,3147,0
2020-01-10,06:00:00,28993.0,28981.0,28972.0,28995.0,2054,0
2020-01-10,07:00:00,28981.0,28955.0,28926.0,28983.0,10870,0
2020-01-10,08:00:00,28955.0,28947.0,28891.0,28968.0,29376,0
2020-01-10,09:00:00,28948.0,28937.0,28917.0,28973.0,21258,0
2020-01-10,10:00:00,28937.0,28845.0,28829.0,28939.0,19482,0
2020-01-10,11:00:00,28845.0,28860.0,28797.0,28869.0,19528,0
2020-01-10,12:00:00,28861.0,28886.0,28850.0,28896.0,8595,0
2020-01-10,13:00:00,28885.0,28835.0,28820.0,28885.0,10333,0
2020-01-10,14:00:00,28834.0,28789.0,28751.0,28836.0,25184,0
2020-01-10,15:00:00,28790.0,28769.0,28766.0,28799.0,5553,0
2020-01-10,16:00:00,28773.0,28772.0,28770.0,28773.0,13,0
2020-01-12,17:00:00,28775.0,28813.0,28775.0,28838.0,3089,0
2020-01-12,18:00:00,28813.0,28833.0,28803.0,28834.0,1649,0
2020-01-12,19:00:00,28833.0,28843.0,28830.0,28872.0,2851,0
2020-01-12,20:00:00,28842.0,28859.0,28826.0,28864.0,1784,0
2020-01-12,21:00:00,28860.0,28856.0,28851.0,28865.0,844,0
2020-01-12,22:00:00,28856.0,28852.0,28850.0,28857.0,423,0
2020-01-12,23:00:00,28851.0,28862.0,28851.0,28867.0,676,0
2020-01-13,00:00:00,28860.0,28860.0,28859.0,28870.0,908,0
2020-01-13,01:00:00,28859.0,28855.0,28850.0,28870.0,1530,0
2020-01-13,02:00:00,28854.0,28884.0,28852.0,28893.0,3815,0
2020-01-13,03:00:00,28884.0,28903.0,28867.0,28903.0,4472,0
2020-01-13,04:00:00,28902.0,28900.0,28888.0,28905.0,2456,0
2020-01-13,05:00:00,28901.0,28852.0,28837.0,28907.0,4077,0
2020-01-13,06:00:00,28852.0,28862.0,28838.0,28868.0,4494,0
2020-01-13,07:00:00,28862.0,28866.0,28856.0,28896.0,5142,0
2020-01-13,08:00:00,28867.0,28847.0,28778.0,28872.0,30216,0
2020-01-13,09:00:00,28847.0,28837.0,28786.0,28851.0,19267,0
