mini_nasdaq_date,mini_nasdaq_time,mini_nasdaq_open,mini_nasdaq_high,mini_nasdaq_close,mini_nasdaq_low,mini_nasdaq_volume,predict
2019-11-25,06:59:00,8307.75,8311,8306,8301.75,3802,0
2019-11-25,07:59:00,8305.5,8315.75,8315.5,8301.25,6882,0
2019-11-25,08:59:00,8315.25,8353.25,8349,8310.75,50349,0
2019-11-25,09:59:00,8349,8371.75,8365,8348,42492,0
2019-11-25,10:59:00,8365.25,8368,8364.25,8359.5,24523,0
2019-11-25,11:59:00,8364.25,8365,8362.75,8359.75,14378,0
2019-11-25,12:59:00,8362.75,8368,8364,8362.5,14182,0
2019-11-25,13:59:00,8363.75,8367.5,8364,8360.5,13193,0
2019-11-25,14:59:00,8364,8375.5,8373.5,8362.75,33579,0
2019-11-25,15:59:00,8373.75,8379.25,8376,8371,14243,0
2019-11-25,16:00:00,8376,8376.75,8375,8375,109,0
2019-11-25,17:59:00,8374.25,8376.5,8374.25,8371,1732,0
2019-11-25,18:59:00,8374.25,8389.5,8388,8373,4880,0
2019-11-25,19:59:00,8388.25,8422,8400.75,8382.5,12624,0
2019-11-25,20:59:00,8400.5,8402.5,8384.75,8382.75,7219,0
2019-11-25,21:59:00,8384.75,8388.75,8384.75,8381.25,3243,0
2019-11-25,22:59:00,8384.5,8387.75,8386.25,8380.75,2341,0
2019-11-25,23:59:00,8386.5,8390.75,8382.25,8380.5,2307,0
2019-11-26,00:59:00,8382,8384.25,8382,8375.5,2498,0
2019-11-26,01:59:00,8382.25,8386.25,8384,8381,3028,0
2019-11-26,02:59:00,8384.25,8384.5,8376,8372.25,6359,0
2019-11-26,03:59:00,8376,8378.5,8372.5,8366.25,6701,0
2019-11-26,04:59:00,8372.5,8378.5,8377.25,8368.5,3297,0
2019-11-26,05:59:00,8377,8381.5,8374.75,8374,3560,0
2019-11-26,06:59:00,8374.75,8380.5,8377.75,8372,3163,0
2019-11-26,07:59:00,8377.5,8384,8379,8374,7287,0
2019-11-26,08:59:00,8378.75,8390,8389.25,8368.75,48371,0
2019-11-26,09:59:00,8389.5,8393.25,8390.25,8373.75,44474,0
2019-11-26,10:59:00,8390.25,8397.25,8392,8381.5,30569,0
2019-11-26,11:59:00,8392,8402.5,8400.25,8388.5,18265,0
2019-11-26,12:59:00,8400,8402.5,8393,8390,15757,0
2019-11-26,13:59:00,8393,8397.25,8394.5,8388.75,13612,0
2019-11-26,14:59:00,8394.75,8401.25,8394.75,8384,28081,0
2019-11-26,15:59:00,8395,8404.75,8402.5,8390.5,14608,0
2019-11-26,16:00:00,8402.5,8403.5,8402.5,8400.25,157,0
2019-11-26,17:59:00,8402.75,8404,8402,8397,1876,0
2019-11-26,18:59:00,8402,8409.25,8401.75,8397.25,4383,0
2019-11-26,19:59:00,8401.5,8406.5,8400.75,8397.25,3271,0
2019-11-26,20:59:00,8401,8407.75,8407.25,8400,2339,0
2019-11-26,21:59:00,8407.5,8412.75,8411.25,8407.25,2449,0
2019-11-26,22:59:00,8411.25,8414.75,8413,8409.25,1550,0
2019-11-26,23:59:00,8413,8414.5,8410.25,8409,1758,0
2019-11-27,00:59:00,8410.25,8412.5,8411.75,8409,1041,0
2019-11-27,01:59:00,8412,8420,8418.25,8411,2899,0
2019-11-27,02:59:00,8418,8419.25,8417.75,8411.5,5679,0
2019-11-27,03:59:00,8418,8428,8427.25,8416.75,7091,0
2019-11-27,04:59:00,8427.5,8430.25,8425,8424.25,4546,0
2019-11-27,05:59:00,8425,8425,8418,8417,2993,0
2019-11-27,06:59:00,8417.75,8421.25,8418.25,8414.5,3842,0
2019-11-27,07:59:00,8418.25,8423.75,8415.5,8414.75,7228,0
2019-11-27,08:59:00,8415.25,8417.75,8415.5,8402.5,40397,0
2019-11-27,09:59:00,8415.25,8429.25,8427.75,8410,34714,0
