te_date,te_time,te_open,te_high,te_low,te_close,te_volume,predict
2021-01-30,02:00:00,15077.0,15107.0,15056.0,15144.0,5913,0
2021-01-30,03:00:00,15109.0,15118.0,15101.0,15143.0,2407,0
2021-01-30,04:00:00,15119.0,15140.0,15098.0,15175.0,4212,0
2021-01-30,05:00:00,15133.0,15109.0,15101.0,15137.0,132,0
2021-02-01,08:00:00,15156.0,15204.0,15147.0,15218.0,9428,0
2021-02-01,09:00:00,15205.0,15185.0,15090.0,15248.0,56680,0
2021-02-01,10:00:00,15185.0,15228.0,15154.0,15267.0,33473,0
2021-02-01,11:00:00,15229.0,15343.0,15218.0,15373.0,29108,0
2021-02-01,12:00:00,15344.0,15373.0,15325.0,15390.0,17849,0
2021-02-01,13:00:00,15374.0,15360.0,15358.0,15398.0,17496,0
2021-02-01,15:00:00,15362.0,15354.0,15315.0,15376.0,7262,0
2021-02-01,16:00:00,15353.0,15370.0,15342.0,15374.0,4037,0
2021-02-01,17:00:00,15369.0,15402.0,15365.0,15418.0,4780,0
2021-02-01,18:00:00,15401.0,15385.0,15377.0,15406.0,2091,0
2021-02-01,19:00:00,15384.0,15402.0,15384.0,15420.0,2271,0
2021-02-01,20:00:00,15401.0,15388.0,15386.0,15409.0,1739,0
2021-02-01,21:00:00,15390.0,15395.0,15385.0,15401.0,1160,0
2021-02-01,22:00:00,15395.0,15368.0,15340.0,15427.0,8347,0
2021-02-01,23:00:00,15368.0,15365.0,15351.0,15387.0,5351,0
2021-02-02,00:00:00,15365.0,15389.0,15351.0,15407.0,3449,0
2021-02-02,01:00:00,15390.0,15415.0,15390.0,15418.0,1689,0
2021-02-02,02:00:00,15415.0,15454.0,15413.0,15466.0,3460,0
2021-02-02,03:00:00,15454.0,15458.0,15438.0,15470.0,1254,0
2021-02-02,04:00:00,15459.0,15453.0,15435.0,15464.0,2115,0
2021-02-02,05:00:00,15454.0,15452.0,15452.0,15455.0,57,0
2021-02-02,08:00:00,15469.0,15494.0,15459.0,15499.0,8252,0
2021-02-02,09:00:00,15495.0,15745.0,15493.0,15773.0,78972,0
2021-02-02,10:00:00,15744.0,15777.0,15713.0,15795.0,30891,0
2021-02-02,11:00:00,15776.0,15803.0,15757.0,15820.0,16897,0
2021-02-02,12:00:00,15804.0,15796.0,15774.0,15808.0,13191,0
2021-02-02,13:00:00,15797.0,15755.0,15726.0,15798.0,27026,0
2021-02-02,15:00:00,15732.0,15769.0,15732.0,15780.0,4311,0
2021-02-02,16:00:00,15768.0,15842.0,15755.0,15843.0,6516,0
2021-02-02,17:00:00,15841.0,15868.0,15841.0,15884.0,6079,0
2021-02-02,18:00:00,15868.0,15849.0,15823.0,15875.0,4091,0
2021-02-02,19:00:00,15848.0,15830.0,15828.0,15852.0,2147,0
2021-02-02,20:00:00,15830.0,15847.0,15824.0,15857.0,2291,0
2021-02-02,21:00:00,15847.0,15846.0,15828.0,15854.0,1962,0
2021-02-02,22:00:00,15846.0,15826.0,15797.0,15852.0,6083,0
2021-02-02,23:00:00,15825.0,15830.0,15802.0,15838.0,5178,0
2021-02-03,00:00:00,15831.0,15838.0,15821.0,15847.0,2033,0
2021-02-03,01:00:00,15837.0,15852.0,15837.0,15866.0,1879,0
2021-02-03,02:00:00,15852.0,15831.0,15818.0,15854.0,1349,0
2021-02-03,03:00:00,15832.0,15838.0,15821.0,15840.0,803,0
2021-02-03,04:00:00,15840.0,15830.0,15808.0,15842.0,2037,0
2021-02-03,05:00:00,15830.0,15824.0,15824.0,15833.0,117,0
2021-02-03,08:00:00,15864.0,15830.0,15830.0,15875.0,7973,0
2021-02-03,09:00:00,15830.0,15780.0,15716.0,15848.0,54217,0
2021-02-03,10:00:00,15780.0,15769.0,15734.0,15823.0,28767,0
2021-02-03,11:00:00,15770.0,15804.0,15757.0,15806.0,16029,0
2021-02-03,12:00:00,15803.0,15754.0,15748.0,15835.0,17383,0
2021-02-03,13:00:00,15754.0,15772.0,15737.0,15787.0,16428,0
2021-02-03,15:00:00,15771.0,15800.0,15757.0,15802.0,2829,0
2021-02-03,16:00:00,15801.0,15800.0,15794.0,15820.0,2900,0
2021-02-03,17:00:00,15799.0,15792.0,15775.0,15801.0,2125,0
2021-02-03,18:00:00,15793.0,15798.0,15784.0,15802.0,1239,0
2021-02-03,19:00:00,15798.0,15797.0,15788.0,15798.0,580,0
2021-02-03,20:00:00,15797.0,15763.0,15750.0,15801.0,3152,0
2021-02-03,21:00:00,15763.0,15777.0,15747.0,15783.0,2923,0
2021-02-03,22:00:00,15777.0,15766.0,15739.0,15779.0,4010,0
2021-02-03,23:00:00,15766.0,15717.0,15687.0,15772.0,9520,0
