mini_nasdaq_date,mini_nasdaq_time,mini_nasdaq_open,mini_nasdaq_high,mini_nasdaq_low,mini_nasdaq_close,mini_nasdaq_volume,predict
2019-11-19,00:00:00,8346.5,8351.0,8344.25,8354.0,2428,1
2019-11-19,01:00:00,8350.75,8346.0,8344.75,8351.0,2882,1
2019-11-19,02:00:00,8346.25,8354.25,8345.0,8364.5,10242,1
2019-11-19,03:00:00,8354.0,8369.75,8353.75,8370.5,7844,1
2019-11-19,04:00:00,8369.5,8368.0,8365.5,8372.0,4410,1
2019-11-19,05:00:00,8368.25,8368.5,8366.25,8379.0,7214,1
2019-11-19,06:00:00,8368.5,8369.25,8364.75,8369.75,4187,1
2019-11-19,07:00:00,8369.5,8363.75,8362.5,8371.5,6298,1
2019-11-19,08:00:00,8363.75,8339.75,8339.5,8370.25,56013,1
2019-11-19,09:00:00,8339.75,8317.75,8312.5,8348.75,70317,0
2019-11-19,10:00:00,8317.75,8352.25,8316.75,8357.75,56316,1
2019-11-19,11:00:00,8352.25,8346.25,8337.25,8356.0,34226,1
2019-11-19,12:00:00,8346.0,8348.25,8339.75,8351.75,18183,1
2019-11-19,13:00:00,8348.25,8351.0,8347.0,8363.0,25959,1
2019-11-19,14:00:00,8350.75,8345.0,8341.25,8356.0,31617,1
2019-11-19,15:00:00,8345.0,8335.25,8334.5,8348.25,11587,0
2019-11-19,16:00:00,8334.75,8334.25,8334.25,8335.25,113,0
2019-11-19,17:00:00,8333.0,8318.5,8316.0,8334.0,5013,1
2019-11-19,18:00:00,8318.5,8325.25,8316.75,8333.25,5590,1
2019-11-19,19:00:00,8325.25,8304.5,8302.0,8326.75,10756,1
2019-11-19,20:00:00,8304.75,8305.5,8299.25,8311.0,6743,0
2019-11-19,21:00:00,8305.75,8309.75,8305.25,8313.75,4068,1
2019-11-19,22:00:00,8309.5,8317.0,8309.25,8318.0,3146,1
2019-11-19,23:00:00,8317.25,8317.75,8313.5,8320.75,2665,1
2019-11-20,00:00:00,8318.0,8316.0,8313.0,8318.25,2449,1
2019-11-20,01:00:00,8316.0,8313.0,8302.25,8327.0,8739,1
2019-11-20,02:00:00,8313.0,8300.25,8296.75,8313.0,13783,0
2019-11-20,03:00:00,8300.0,8307.5,8292.5,8310.5,9567,0
2019-11-20,04:00:00,8307.0,8303.0,8296.25,8308.0,6491,0
2019-11-20,05:00:00,8303.5,8310.5,8291.5,8312.0,7562,1
2019-11-20,06:00:00,8310.75,8310.75,8308.25,8319.0,7475,1
2019-11-20,07:00:00,8310.75,8308.5,8306.75,8321.0,9688,1
2019-11-20,08:00:00,8308.5,8331.75,8306.0,8333.25,53246,1
2019-11-20,09:00:00,8331.75,8342.75,8322.0,8348.0,52710,1
2019-11-20,10:00:00,8343.0,8321.75,8320.0,8346.75,35605,1
2019-11-20,11:00:00,8321.75,8266.25,8257.0,8330.0,53555,1
2019-11-20,12:00:00,8266.0,8261.25,8231.0,8284.25,101814,0
2019-11-20,13:00:00,8261.25,8277.75,8251.5,8286.5,52959,0
2019-11-20,14:00:00,8277.25,8284.75,8263.25,8290.25,44908,1
2019-11-20,15:00:00,8284.75,8289.25,8282.0,8294.75,19647,1
2019-11-20,16:00:00,8289.0,8288.25,8288.0,8289.25,60,1
2019-11-20,17:00:00,8261.5,8269.25,8242.25,8276.25,5927,0
2019-11-20,18:00:00,8269.25,8246.75,8246.5,8274.75,9325,0
2019-11-20,19:00:00,8247.0,8245.0,8240.0,8255.0,11443,0
2019-11-20,20:00:00,8245.0,8272.25,8243.75,8290.25,17449,1
2019-11-20,21:00:00,8272.75,8269.25,8259.5,8273.75,5797,1
2019-11-20,22:00:00,8269.0,8266.75,8265.25,8271.75,2935,1
2019-11-20,23:00:00,8267.0,8276.0,8264.25,8280.75,3057,1
2019-11-21,00:00:00,8276.25,8278.5,8273.75,8281.5,2356,1
2019-11-21,01:00:00,8278.5,8269.0,8261.25,8289.0,8310,1
2019-11-21,02:00:00,8268.75,8274.0,8257.0,8275.25,10146,0
2019-11-21,03:00:00,8274.0,8274.5,8268.5,8278.25,6541,1
2019-11-21,04:00:00,8274.0,8285.5,8272.5,8299.25,13513,1
2019-11-21,05:00:00,8285.0,8288.25,8277.0,8290.75,5278,1
2019-11-21,06:00:00,8288.5,8283.5,8276.25,8288.75,5343,1
2019-11-21,07:00:00,8284.0,8290.0,8279.75,8308.0,16709,1
2019-11-21,08:00:00,8290.0,8278.75,8261.0,8294.5,55440,1
2019-11-21,09:00:00,8278.5,8268.0,8248.0,8287.5,72358,0
2019-11-21,10:00:00,8267.75,8254.25,8249.5,8278.75,42779,0
2019-11-21,11:00:00,8254.0,8269.5,8246.75,8271.75,27758,0
2019-11-21,12:00:00,8269.5,8269.25,8266.25,8275.5,17593,1
2019-11-21,13:00:00,8269.25,8282.25,8259.5,8289.0,25157,1
2019-11-21,14:00:00,8282.5,8270.75,8258.0,8285.0,32235,1
2019-11-21,15:00:00,8270.75,8277.75,8265.25,8278.5,11816,1
2019-11-21,16:00:00,8278.0,8278.5,8277.5,8278.75,173,1
2019-11-21,17:00:00,8280.25,8270.25,8269.75,8281.5,2418,1
2019-11-21,18:00:00,8270.5,8282.25,8266.0,8286.5,4846,1
2019-11-21,19:00:00,8282.5,8299.25,8282.5,8299.5,8058,1
2019-11-21,20:00:00,8299.25,8295.75,8293.5,8300.0,3372,1
2019-11-21,21:00:00,8295.75,8293.5,8291.25,8296.25,2801,1
2019-11-21,22:00:00,8293.75,8293.5,8291.0,8294.0,1303,1
2019-11-21,23:00:00,8293.75,8293.0,8292.25,8300.0,2261,1
2019-11-22,00:00:00,8293.0,8290.25,8289.5,8294.0,2551,1
2019-11-22,01:00:00,8290.25,8289.0,8286.25,8295.75,4344,1
2019-11-22,02:00:00,8289.0,8309.25,8286.75,8313.5,14123,1
2019-11-22,03:00:00,8309.0,8300.0,8291.5,8310.0,9915,1
2019-11-22,04:00:00,8300.25,8297.75,8295.0,8304.0,4751,1
2019-11-22,05:00:00,8297.75,8296.25,8287.5,8300.25,5431,0
2019-11-22,06:00:00,8296.0,8295.25,8293.0,8302.5,6747,1
2019-11-22,07:00:00,8295.25,8297.75,8280.75,8299.75,16572,1
2019-11-22,08:00:00,8297.75,8288.25,8277.5,8298.75,47632,1
2019-11-22,09:00:00,8288.25,8254.25,8244.0,8292.25,61170,0
2019-11-22,10:00:00,8254.25,8261.25,8233.25,8265.25,44935,0
2019-11-22,11:00:00,8261.5,8273.0,8258.25,8275.0,22787,1
2019-11-22,12:00:00,8272.75,8268.5,8260.0,8276.0,16837,1
2019-11-22,13:00:00,8268.5,8268.75,8259.75,8273.0,18211,1
2019-11-22,14:00:00,8268.75,8275.5,8261.75,8278.25,27908,1
2019-11-22,15:00:00,8275.5,8281.5,8273.25,8282.0,11513,1
2019-11-22,16:00:00,8281.75,8283.0,8280.5,8283.0,180,1
2019-11-24,17:00:00,8303.25,8306.25,8296.5,8311.75,5293,1
2019-11-24,18:00:00,8306.25,8307.25,8303.25,8308.5,2605,1
2019-11-24,19:00:00,8307.5,8313.5,8307.25,8316.25,4865,1
2019-11-24,20:00:00,8313.5,8309.75,8309.0,8314.75,1992,1
2019-11-24,21:00:00,8310.0,8308.75,8308.0,8311.5,1317,1
2019-11-24,22:00:00,8309.0,8305.5,8305.0,8311.25,1142,1
2019-11-24,23:00:00,8305.25,8311.25,8303.25,8312.0,2415,1
2019-11-25,00:00:00,8311.25,8311.5,8308.5,8313.5,1647,1
2019-11-25,01:00:00,8311.5,8307.0,8304.5,8312.25,2330,1
2019-11-25,02:00:00,8306.75,8310.0,8304.25,8311.5,5198,1
2019-11-25,03:00:00,8309.75,8310.5,8306.75,8312.25,3679,1
2019-11-25,04:00:00,8310.5,8310.75,8308.25,8312.5,1987,1
2019-11-25,05:00:00,8310.75,8308.0,8305.5,8311.5,1854,1
2019-11-25,06:00:00,8307.75,8306.0,8301.75,8311.0,3802,1
2019-11-25,07:00:00,8305.5,8315.5,8301.25,8315.75,6882,1
2019-11-25,08:00:00,8315.25,8349.0,8310.75,8353.25,50349,1
2019-11-25,09:00:00,8349.0,8365.0,8348.0,8371.75,42492,1
2019-11-25,10:00:00,8365.25,8364.25,8359.5,8368.0,24523,1
2019-11-25,11:00:00,8364.25,8362.75,8359.75,8365.0,14378,1
2019-11-25,12:00:00,8362.75,8364.0,8362.5,8368.0,14182,1
2019-11-25,13:00:00,8363.75,8364.0,8360.5,8367.5,13193,1
2019-11-25,14:00:00,8364.0,8373.5,8362.75,8375.5,33579,1
2019-11-25,15:00:00,8373.75,8376.0,8371.0,8379.25,14243,1
2019-11-25,16:00:00,8376.0,8375.0,8375.0,8376.75,109,1
2019-11-25,17:00:00,8374.25,8374.25,8371.0,8376.5,1732,1
2019-11-25,18:00:00,8374.25,8388.0,8373.0,8389.5,4880,1
2019-11-25,19:00:00,8388.25,8400.75,8382.5,8422.0,12624,1
2019-11-25,20:00:00,8400.5,8384.75,8382.75,8402.5,7219,1
2019-11-25,21:00:00,8384.75,8384.75,8381.25,8388.75,3243,0
2019-11-25,22:00:00,8384.5,8386.25,8380.75,8387.75,2341,0
2019-11-25,23:00:00,8386.5,8382.25,8380.5,8390.75,2307,1
2019-11-26,00:00:00,8382.0,8382.0,8375.5,8384.25,2498,1
2019-11-26,01:00:00,8382.25,8384.0,8381.0,8386.25,3028,1
2019-11-26,02:00:00,8384.25,8376.0,8372.25,8384.5,6359,1
2019-11-26,03:00:00,8376.0,8372.5,8366.25,8378.5,6701,0
2019-11-26,04:00:00,8372.5,8377.25,8368.5,8378.5,3297,0
2019-11-26,05:00:00,8377.0,8374.75,8374.0,8381.5,3560,1
2019-11-26,06:00:00,8374.75,8377.75,8372.0,8380.5,3163,1
2019-11-26,07:00:00,8377.5,8379.0,8374.0,8384.0,7287,1
2019-11-26,08:00:00,8378.75,8389.25,8368.75,8390.0,48371,1
2019-11-26,09:00:00,8389.5,8390.25,8373.75,8393.25,44474,1
2019-11-26,10:00:00,8390.25,8392.0,8381.5,8397.25,30569,1
2019-11-26,11:00:00,8392.0,8400.25,8388.5,8402.5,18265,1
2019-11-26,12:00:00,8400.0,8393.0,8390.0,8402.5,15757,1
2019-11-26,13:00:00,8393.0,8394.5,8388.75,8397.25,13612,1
2019-11-26,14:00:00,8394.75,8394.75,8384.0,8401.25,28081,1
2019-11-26,15:00:00,8395.0,8402.5,8390.5,8404.75,14608,1
2019-11-26,16:00:00,8402.5,8402.5,8400.25,8403.5,157,1
2019-11-26,17:00:00,8402.75,8402.0,8397.0,8404.0,1876,1
2019-11-26,18:00:00,8402.0,8401.75,8397.25,8409.25,4383,1
2019-11-26,19:00:00,8401.5,8400.75,8397.25,8406.5,3271,1
2019-11-26,20:00:00,8401.0,8407.25,8400.0,8407.75,2339,1
2019-11-26,21:00:00,8407.5,8411.25,8407.25,8412.75,2449,1
2019-11-26,22:00:00,8411.25,8413.0,8409.25,8414.75,1550,1
2019-11-26,23:00:00,8413.0,8410.25,8409.0,8414.5,1758,1
2019-11-27,00:00:00,8410.25,8411.75,8409.0,8412.5,1041,1
2019-11-27,01:00:00,8412.0,8418.25,8411.0,8420.0,2899,1
2019-11-27,02:00:00,8418.0,8417.75,8411.5,8419.25,5679,1
2019-11-27,03:00:00,8418.0,8427.25,8416.75,8428.0,7091,1
2019-11-27,04:00:00,8427.5,8425.0,8424.25,8430.25,4546,1
2019-11-27,05:00:00,8425.0,8418.0,8417.0,8425.0,2993,1
2019-11-27,06:00:00,8417.75,8418.25,8414.5,8421.25,3842,0
2019-11-27,07:00:00,8418.25,8415.5,8414.75,8423.75,7228,1
2019-11-27,08:00:00,8415.25,8415.5,8402.5,8417.75,40397,1
2019-11-27,09:00:00,8415.25,8427.75,8410.0,8429.25,34714,1
2019-11-27,10:00:00,8427.5,8435.5,8425.25,8436.5,25227,1
2019-11-27,11:00:00,8435.5,8437.0,8434.75,8441.75,18081,1
2019-11-27,12:00:00,8437.0,8440.25,8435.75,8446.5,19185,1
2019-11-27,13:00:00,8440.25,8441.25,8438.5,8444.0,11009,1
2019-11-27,14:00:00,8441.25,8447.5,8438.25,8449.0,23085,1
2019-11-27,15:00:00,8447.5,8456.25,8446.0,8458.75,13500,1
2019-11-27,16:00:00,8456.0,8456.5,8455.75,8457.25,148,1
2019-11-27,17:00:00,8456.75,8425.75,8420.75,8458.25,9004,1
2019-11-27,18:00:00,8425.5,8423.5,8417.75,8429.5,5337,0
2019-11-27,19:00:00,8423.5,8430.5,8413.75,8431.0,6939,0
2019-11-27,20:00:00,8429.75,8429.0,8424.25,8433.0,3613,1
2019-11-27,21:00:00,8429.0,8427.75,8426.5,8431.0,1250,1
2019-11-27,22:00:00,8428.0,8428.75,8426.75,8429.25,1149,1
2019-11-27,23:00:00,8428.75,8426.75,8424.25,8429.75,1489,1
2019-11-28,00:00:00,8426.75,8428.0,8423.25,8428.5,1009,0
2019-11-28,01:00:00,8428.25,8431.5,8426.0,8434.75,2440,1
2019-11-28,02:00:00,8431.25,8431.75,8425.75,8433.25,5145,1
2019-11-28,03:00:00,8431.75,8429.25,8427.25,8432.0,1990,1
2019-11-28,04:00:00,8429.25,8432.5,8428.5,8432.5,1737,1
2019-11-28,05:00:00,8432.25,8437.5,8432.0,8439.25,2467,1
2019-11-28,06:00:00,8437.5,8442.5,8437.25,8444.0,2647,1
2019-11-28,07:00:00,8442.25,8436.75,8436.25,8442.25,2379,1
2019-11-28,08:00:00,8436.5,8439.5,8434.5,8443.25,3614,1
2019-11-28,09:00:00,8439.75,8437.75,8437.0,8441.0,3058,1
2019-11-28,10:00:00,8437.75,8444.0,8435.75,8444.25,3102,1
2019-11-28,11:00:00,8444.0,8443.0,8442.75,8447.75,2071,1
2019-11-28,12:00:00,8443.25,8444.5,8442.75,8444.75,99,1
2019-11-28,17:00:00,8442.75,8448.75,8442.0,8449.75,1937,1
2019-11-28,18:00:00,8449.0,8442.5,8442.5,8451.0,2007,1
2019-11-28,19:00:00,8443.0,8428.5,8426.0,8443.25,6314,0
2019-11-28,20:00:00,8428.5,8427.25,8425.25,8433.5,2911,0
2019-11-28,21:00:00,8427.25,8424.75,8420.5,8429.0,3093,0
2019-11-28,22:00:00,8424.75,8423.75,8420.75,8425.0,1554,0
2019-11-28,23:00:00,8424.0,8419.0,8414.5,8424.25,3681,1
2019-11-29,00:00:00,8419.0,8419.75,8408.5,8423.5,4489,1
2019-11-29,01:00:00,8419.75,8422.75,8416.75,8424.5,3615,1
2019-11-29,02:00:00,8423.0,8427.5,8414.75,8428.5,5975,1
2019-11-29,03:00:00,8427.5,8430.25,8427.0,8433.25,4702,1
2019-11-29,04:00:00,8430.25,8429.5,8426.5,8433.0,2650,1
2019-11-29,05:00:00,8429.5,8434.0,8427.0,8436.25,2332,1
2019-11-29,06:00:00,8434.25,8435.0,8432.5,8440.5,3439,1
2019-11-29,07:00:00,8435.0,8430.5,8429.5,8436.25,4473,1
2019-11-29,08:00:00,8430.25,8435.75,8421.5,8436.25,33892,1
2019-11-29,09:00:00,8435.75,8432.5,8424.5,8440.5,32084,1
2019-11-29,10:00:00,8432.25,8428.0,8415.5,8433.5,24743,0
