te_date,te_time,te_open,te_high,te_close,te_low,te_volume,predict
2021-01-07,04:00:00,15025.0,15031.0,15033.0,15013.0,486.0,0
2021-01-07,04:15:00,15032.0,15026.0,15032.0,15010.0,505.0,0
2021-01-07,04:30:00,15025.0,15026.0,15030.0,15012.0,516.0,0
2021-01-07,04:45:00,15027.0,15028.0,15029.0,15016.0,510.0,0
2021-01-07,05:00:00,15028.0,15030.0,15032.0,15027.0,74.0,0
2021-01-07,08:45:00,15050.0,15075.0,15090.0,15041.0,8056.0,0
2021-01-07,09:00:00,15077.0,15070.0,15087.0,15055.0,10659.0,0
2021-01-07,09:15:00,15069.0,15066.0,15107.0,15056.0,11910.0,0
2021-01-07,09:30:00,15067.0,15090.0,15098.0,15024.0,13258.0,0
2021-01-07,09:45:00,15089.0,15098.0,15115.0,15059.0,10465.0,0
2021-01-07,10:00:00,15099.0,15092.0,15100.0,15076.0,5207.0,0
2021-01-07,10:15:00,15092.0,15110.0,15120.0,15084.0,6037.0,0
2021-01-07,10:30:00,15111.0,15128.0,15135.0,15107.0,5588.0,0
2021-01-07,10:45:00,15127.0,15166.0,15173.0,15112.0,8982.0,0
2021-01-07,11:00:00,15165.0,15186.0,15188.0,15154.0,8565.0,0
2021-01-07,11:15:00,15186.0,15217.0,15218.0,15175.0,8011.0,0
2021-01-07,11:30:00,15216.0,15208.0,15244.0,15175.0,11162.0,0
2021-01-07,11:45:00,15208.0,15194.0,15228.0,15178.0,5235.0,0
2021-01-07,12:00:00,15193.0,15190.0,15205.0,15178.0,3376.0,0
2021-01-07,12:15:00,15190.0,15216.0,15226.0,15183.0,3370.0,0
2021-01-07,12:30:00,15216.0,15234.0,15247.0,15211.0,4269.0,0
2021-01-07,12:45:00,15234.0,15216.0,15249.0,15215.0,3722.0,0
2021-01-07,13:00:00,15216.0,15233.0,15242.0,15204.0,4756.0,0
2021-01-07,13:15:00,15232.0,15225.0,15260.0,15220.0,7170.0,0
2021-01-07,13:30:00,15225.0,15218.0,15229.0,15202.0,9488.0,0
2021-01-07,13:45:00,15218.0,15230.0,15231.0,15217.0,1432.0,0
