mtx_date,mtx_time,mtx_open,mtx_high,mtx_low,mtx_close,mtx_volume,predict
2020-12-28,20:00:00,14462.0,14465.0,14456.0,14466.0,1516,0
2020-12-28,21:00:00,14465.0,14462.0,14458.0,14467.0,1410,0
2020-12-28,22:00:00,14462.0,14464.0,14447.0,14471.0,5559,0
2020-12-28,23:00:00,14464.0,14471.0,14452.0,14472.0,3504,0
2020-12-29,00:00:00,14471.0,14463.0,14462.0,14474.0,1964,0
2020-12-29,01:00:00,14464.0,14464.0,14457.0,14468.0,902,0
2020-12-29,02:00:00,14465.0,14461.0,14460.0,14468.0,523,0
2020-12-29,03:00:00,14461.0,14441.0,14416.0,14466.0,5240,0
2020-12-29,04:00:00,14441.0,14419.0,14402.0,14445.0,5046,0
2020-12-29,05:00:00,14420.0,14424.0,14420.0,14424.0,71,0
2020-12-29,08:00:00,14467.0,14440.0,14427.0,14468.0,8170,0
2020-12-29,09:00:00,14441.0,14408.0,14408.0,14459.0,36875,0
2020-12-29,10:00:00,14407.0,14424.0,14377.0,14429.0,29232,0
2020-12-29,11:00:00,14426.0,14432.0,14419.0,14442.0,11041,0
2020-12-29,12:00:00,14431.0,14434.0,14404.0,14438.0,10956,0
2020-12-29,13:00:00,14435.0,14460.0,14423.0,14462.0,10368,0
2020-12-29,15:00:00,14460.0,14479.0,14460.0,14486.0,5123,0
2020-12-29,16:00:00,14479.0,14472.0,14470.0,14484.0,2042,0
2020-12-29,17:00:00,14472.0,14472.0,14468.0,14476.0,1136,0
2020-12-29,18:00:00,14472.0,14468.0,14465.0,14474.0,1169,0
2020-12-29,19:00:00,14468.0,14463.0,14458.0,14471.0,2111,0
2020-12-29,20:00:00,14464.0,14464.0,14462.0,14470.0,1082,0
2020-12-29,21:00:00,14464.0,14460.0,14450.0,14465.0,2323,0
2020-12-29,22:00:00,14460.0,14459.0,14452.0,14474.0,4463,0
2020-12-29,23:00:00,14459.0,14467.0,14443.0,14468.0,5580,0
2020-12-30,00:00:00,14467.0,14465.0,14456.0,14470.0,2337,0
2020-12-30,01:00:00,14465.0,14459.0,14449.0,14466.0,1794,0
2020-12-30,02:00:00,14459.0,14465.0,14457.0,14466.0,893,0
2020-12-30,03:00:00,14465.0,14463.0,14455.0,14467.0,603,0
2020-12-30,04:00:00,14462.0,14461.0,14458.0,14468.0,1521,0
2020-12-30,05:00:00,14461.0,14461.0,14461.0,14464.0,55,0
