tf_date,tf_time,tf_open,tf_high,tf_low,tf_close,tf_volume,predict
2021-08-09,12:00:00,1524.2,1525.0,1522.0,1526.8,102,-1
2021-08-09,13:00:00,1524.4,1524.6,1522.0,1525.6,147,-1
2021-08-10,08:00:00,1527.2,1523.2,1522.6,1528.0,56,0
2021-08-10,09:00:00,1523.2,1518.2,1518.0,1529.0,355,0
2021-08-10,10:00:00,1519.2,1522.6,1518.0,1523.8,119,-1
2021-08-10,11:00:00,1522.2,1521.0,1520.0,1522.4,39,-1
2021-08-10,12:00:00,1520.0,1521.0,1520.0,1521.6,36,-1
2021-08-10,13:00:00,1521.4,1523.4,1520.6,1524.0,129,0
2021-08-11,08:00:00,1526.8,1528.0,1524.2,1533.4,197,0
2021-08-11,09:00:00,1527.6,1533.0,1524.4,1535.8,583,0
2021-08-11,10:00:00,1533.0,1537.0,1533.0,1539.8,271,0
2021-08-11,11:00:00,1537.0,1535.0,1532.2,1537.8,242,0
2021-08-11,12:00:00,1535.2,1532.0,1530.0,1536.0,216,0
2021-08-11,13:00:00,1531.4,1534.8,1531.4,1534.8,128,0
2021-08-12,08:00:00,1539.4,1538.6,1537.4,1542.8,63,0
2021-08-12,09:00:00,1538.6,1527.0,1526.2,1538.6,426,0
2021-08-12,10:00:00,1527.4,1526.6,1524.8,1528.6,119,-1
2021-08-12,11:00:00,1527.2,1524.0,1522.6,1527.4,168,-1
2021-08-12,12:00:00,1524.0,1523.8,1522.4,1525.0,97,-1
2021-08-12,13:00:00,1523.8,1522.8,1522.8,1526.0,94,0
2021-08-13,08:00:00,1525.0,1520.0,1517.0,1525.0,80,0
2021-08-13,09:00:00,1520.4,1521.2,1517.8,1526.0,515,0
2021-08-13,10:00:00,1521.4,1523.8,1520.6,1527.4,167,0
2021-08-13,11:00:00,1523.6,1525.0,1520.4,1525.6,171,-1
2021-08-13,12:00:00,1525.0,1523.2,1522.2,1526.0,54,-1
2021-08-13,13:00:00,1524.0,1523.6,1522.2,1524.8,105,-1
2021-08-16,08:00:00,1513.2,1513.0,1505.4,1515.0,73,-1
2021-08-16,09:00:00,1513.0,1514.2,1509.4,1518.8,350,-1
2021-08-16,10:00:00,1514.4,1502.8,1500.2,1514.8,582,-1
2021-08-16,11:00:00,1502.6,1499.0,1498.0,1503.6,227,-1
2021-08-16,12:00:00,1498.2,1501.4,1497.6,1504.0,221,-1
2021-08-16,13:00:00,1501.0,1498.6,1498.6,1502.6,235,-1
2021-08-17,08:00:00,1504.0,1510.0,1502.4,1515.2,161,0
2021-08-17,09:00:00,1509.8,1510.4,1507.4,1514.2,322,0
2021-08-17,10:00:00,1510.6,1513.6,1509.2,1514.4,222,-1
2021-08-17,11:00:00,1513.8,1513.0,1511.0,1514.2,233,-1
2021-08-17,12:00:00,1513.2,1517.4,1513.2,1517.4,472,0
2021-08-17,13:00:00,1517.0,1522.0,1516.6,1526.8,514,0
2021-08-18,08:00:00,1509.2,1516.0,1509.0,1523.8,57,0
2021-08-18,09:00:00,1515.4,1509.8,1506.4,1515.4,292,-1
2021-08-18,10:00:00,1508.6,1514.0,1508.0,1517.4,109,0
2021-08-18,11:00:00,1514.8,1514.4,1511.0,1517.4,144,0
2021-08-18,12:00:00,1513.8,1516.4,1513.2,1520.4,148,0
2021-08-18,13:00:00,1516.8,1515.0,1514.4,1516.8,93,0
2021-08-19,08:00:00,1508.2,1508.4,1507.0,1512.0,65,-1
2021-08-19,09:00:00,1508.6,1506.6,1506.6,1511.6,372,-1
2021-08-19,10:00:00,1506.6,1495.2,1494.4,1507.4,404,-1
2021-08-19,11:00:00,1494.8,1496.2,1490.4,1499.4,314,-1
2021-08-19,12:00:00,1496.2,1491.0,1490.4,1496.2,274,-1
2021-08-19,13:00:00,1491.8,1497.2,1490.2,1497.8,206,0
2021-08-20,08:00:00,1495.6,1504.6,1494.6,1507.0,80,0
2021-08-20,09:00:00,1505.4,1483.6,1479.0,1505.8,600,0
2021-08-20,10:00:00,1483.6,1485.8,1483.6,1494.6,304,-1
2021-08-20,11:00:00,1485.6,1491.6,1485.0,1494.0,204,-1
2021-08-20,12:00:00,1492.2,1498.6,1491.2,1498.8,173,0
2021-08-20,13:00:00,1497.8,1489.0,1486.0,1497.8,249,0
2021-08-23,08:00:00,1497.8,1504.4,1497.8,1505.6,106,0
2021-08-23,09:00:00,1505.0,1511.4,1505.0,1515.6,857,0
2021-08-23,10:00:00,1511.2,1505.2,1504.6,1511.4,709,0
2021-08-23,11:00:00,1505.4,1502.4,1502.4,1506.4,521,-1
2021-08-23,12:00:00,1502.4,1503.2,1501.8,1504.2,439,-1
2021-08-23,13:00:00,1503.4,1506.2,1502.8,1506.2,427,0
2021-08-24,08:00:00,1512.0,1514.4,1512.0,1517.6,72,0
2021-08-24,09:00:00,1514.2,1517.0,1508.2,1518.0,321,0
2021-08-24,10:00:00,1517.0,1520.4,1512.6,1521.0,206,0
2021-08-24,11:00:00,1520.2,1522.4,1518.4,1523.4,224,0
2021-08-24,12:00:00,1521.8,1527.0,1521.2,1528.4,203,0
2021-08-24,13:00:00,1527.4,1525.2,1524.8,1528.0,139,0
2021-08-25,08:00:00,1531.0,1531.6,1529.2,1533.6,49,0
2021-08-25,09:00:00,1531.8,1530.8,1527.0,1535.4,330,0
2021-08-25,10:00:00,1530.8,1530.0,1526.4,1531.8,151,0
2021-08-25,11:00:00,1530.0,1533.4,1529.2,1534.6,137,0
2021-08-25,12:00:00,1533.0,1534.8,1532.2,1535.0,172,0
2021-08-25,13:00:00,1534.6,1535.8,1533.4,1536.0,123,0
2021-08-26,08:00:00,1542.8,1538.0,1535.2,1543.2,77,0
