mini_russell_date,mini_russell_time,mini_russell_open,mini_russell_high,mini_russell_close,mini_russell_low,mini_russell_volume,predict
2020-10-15,03:00:00,1610.9,1610.7,1611.7,1608.8,669.0,0
2020-10-15,03:15:00,1610.5,1608.8,1610.5,1607.9,790.0,0
2020-10-15,03:30:00,1608.6,1602.8,1608.8,1602.6,793.0,0
2020-10-15,03:45:00,1602.6,1600.8,1604.9,1600.3,796.0,0
2020-10-15,04:00:00,1601.0,1602.1,1602.5,1598.6,1031.0,0
2020-10-15,04:15:00,1602.1,1602.7,1602.8,1599.6,582.0,0
2020-10-15,04:30:00,1602.6,1599.5,1602.6,1598.4,589.0,0
2020-10-15,04:45:00,1599.5,1602.0,1602.4,1597.3,528.0,0
2020-10-15,05:00:00,1602.1,1602.6,1604.4,1601.5,709.0,-1
2020-10-15,05:15:00,1602.6,1601.8,1603.1,1600.0,518.0,0
2020-10-15,05:30:00,1601.8,1602.4,1603.2,1601.8,391.0,0
2020-10-15,05:45:00,1602.3,1603.4,1604.1,1602.0,552.0,0
2020-10-15,06:00:00,1603.7,1602.7,1607.0,1602.6,1145.0,-1
2020-10-15,06:15:00,1602.8,1605.9,1606.4,1601.5,572.0,0
2020-10-15,06:30:00,1606.0,1605.6,1607.0,1604.4,613.0,0
2020-10-15,06:45:00,1605.6,1603.9,1606.2,1602.6,384.0,0
2020-10-15,07:00:00,1604.1,1601.7,1604.2,1600.7,818.0,0
2020-10-15,07:15:00,1601.6,1602.3,1604.5,1600.9,1075.0,0
2020-10-15,07:30:00,1602.4,1601.7,1603.3,1598.2,2177.0,0
2020-10-15,07:45:00,1601.9,1599.6,1602.4,1599.1,880.0,0
2020-10-15,08:00:00,1599.7,1600.4,1603.3,1599.7,1165.0,0
2020-10-15,08:15:00,1600.3,1601.6,1603.1,1599.8,1272.0,0
2020-10-15,08:30:00,1601.6,1600.3,1603.0,1595.5,12731.0,0
2020-10-15,08:45:00,1600.4,1603.8,1607.4,1600.1,7623.0,-1
2020-10-15,09:00:00,1603.9,1605.6,1608.7,1601.9,5132.0,-1
2020-10-15,09:15:00,1605.6,1605.8,1607.6,1603.5,4262.0,0
2020-10-15,09:30:00,1605.7,1607.4,1608.9,1604.5,4765.0,0
2020-10-15,09:45:00,1607.5,1609.4,1609.8,1605.7,4530.0,0
2020-10-15,10:00:00,1609.3,1613.8,1615.8,1608.3,7278.0,-1
2020-10-15,10:15:00,1613.7,1615.1,1618.7,1613.1,5412.0,-1
2020-10-15,10:30:00,1615.1,1618.8,1619.5,1613.8,3988.0,0
2020-10-15,10:45:00,1618.7,1622.7,1626.8,1617.7,8995.0,0
2020-10-15,11:00:00,1622.7,1619.5,1623.1,1618.0,4712.0,0
2020-10-15,11:15:00,1619.5,1619.4,1621.4,1617.4,4322.0,0
2020-10-15,11:30:00,1619.5,1621.9,1622.7,1617.9,7047.0,0
2020-10-15,11:45:00,1621.7,1625.2,1625.6,1618.1,5095.0,-1
2020-10-15,12:00:00,1625.1,1628.2,1628.5,1623.8,3185.0,-1
2020-10-15,12:15:00,1628.2,1630.9,1632.9,1628.1,5760.0,-1
2020-10-15,12:30:00,1630.8,1629.9,1631.6,1628.7,2660.0,0
2020-10-15,12:45:00,1630.0,1631.0,1633.2,1629.5,5377.0,0
2020-10-15,13:00:00,1630.9,1631.3,1633.7,1630.6,4552.0,-1
2020-10-15,13:15:00,1631.4,1633.1,1634.2,1631.4,3609.0,0
2020-10-15,13:30:00,1633.1,1633.2,1634.7,1632.3,3375.0,0
2020-10-15,13:45:00,1633.1,1634.8,1635.0,1631.5,2341.0,0
2020-10-15,14:00:00,1634.8,1633.7,1637.4,1633.5,3628.0,-1
