mini_russell_date,mini_russell_time,mini_russell_open,mini_russell_high,mini_russell_close,mini_russell_low,mini_russell_volume,predict
2019-07-14,20:59:00,1571.1,1571.3,1570.7,1568.9,477,0
2019-07-14,21:59:00,1570.8,1574.3,1573.8,1570.7,734,0
2019-07-14,22:59:00,1573.8,1574.9,1574,1573.8,222,0
2019-07-14,23:58:00,1574,1574.2,1574.1,1573.7,98,0
2019-07-15,00:59:00,1574.2,1574.2,1573.9,1573.4,136,0
2019-07-15,01:59:00,1574,1574.9,1574.7,1573.3,264,0
2019-07-15,02:59:00,1574.7,1578.1,1577.5,1574.7,1270,0
2019-07-15,03:59:00,1577.1,1577.6,1575.8,1573.5,1295,0
2019-07-15,04:59:00,1575.8,1576.2,1575.5,1573.8,963,0
2019-07-15,05:59:00,1575.4,1577.4,1577.4,1575.3,957,0
2019-07-15,06:59:00,1577.5,1578.3,1578.3,1577.2,625,0
2019-07-15,07:59:00,1578.3,1579,1578.5,1577.8,1710,0
2019-07-15,08:59:00,1578.6,1578.8,1564.4,1563,15401,0
2019-07-15,09:59:00,1564.4,1567.9,1564.9,1562.5,19066,0
2019-07-15,10:59:00,1564.9,1566.1,1562.3,1560,10644,0
2019-07-15,11:59:00,1562.2,1563,1561.8,1560.3,4237,0
2019-07-15,12:59:00,1561.8,1564,1563.3,1561.6,5425,0
2019-07-15,13:59:00,1563.3,1563.9,1563.9,1561.9,3646,0
2019-07-15,14:59:00,1563.8,1565,1563,1562.3,8604,0
2019-07-15,15:59:00,1563,1565.4,1564.8,1563,9147,0
2019-07-15,16:00:00,1564.8,1565,1564.3,1564.3,31,0
2019-07-15,17:58:00,1564.8,1565.1,1564.7,1563.8,278,0
2019-07-15,18:59:00,1564.7,1566.5,1566.1,1564.6,209,0
2019-07-15,19:59:00,1566.1,1566.5,1564.9,1564.9,287,0
2019-07-15,20:58:00,1565,1565.9,1564.4,1564,271,0
2019-07-15,21:59:00,1564.4,1566,1566,1564.1,235,0
2019-07-15,22:58:00,1566.1,1566.6,1566.3,1565.9,175,0
2019-07-15,23:55:00,1566.1,1566.3,1566.1,1565.7,98,0
2019-07-16,00:59:00,1566.1,1566.8,1566.5,1565.8,173,0
2019-07-16,01:59:00,1566.3,1566.5,1565.4,1565.3,245,0
2019-07-16,02:58:00,1565.4,1565.7,1565.2,1564.2,851,0
2019-07-16,03:59:00,1565.2,1566,1565.5,1564.8,490,0
2019-07-16,04:59:00,1565.4,1566.1,1564,1563.2,859,0
2019-07-16,05:59:00,1564,1564.6,1562.8,1562.6,962,0
2019-07-16,06:59:00,1562.8,1565.5,1565.1,1562.8,1293,0
2019-07-16,07:59:00,1565.2,1566.1,1563.7,1563.5,1451,0
2019-07-16,08:59:00,1563.8,1566.5,1565.8,1558.1,15187,0
2019-07-16,09:59:00,1565.9,1571.9,1571.9,1565.5,20700,0
2019-07-16,10:59:00,1571.9,1573.7,1567.8,1567.2,9621,0
2019-07-16,11:59:00,1567.8,1568.1,1564.3,1561.7,11061,0
2019-07-16,12:59:00,1564.4,1572.5,1564.9,1564.4,9906,0
2019-07-16,13:59:00,1565,1568.2,1567,1564.8,6800,0
2019-07-16,14:59:00,1566.9,1567.9,1564.5,1564.5,9656,0
2019-07-16,15:59:00,1564.5,1566.1,1564.6,1564,8603,0
2019-07-16,16:00:00,1564.7,1564.9,1564.6,1564.6,34,0
2019-07-16,17:59:00,1564.4,1565.1,1564.7,1563.6,321,0
2019-07-16,18:57:00,1564.9,1565,1564.8,1564.3,124,0
2019-07-16,19:59:00,1564.7,1565.2,1564.4,1563.8,189,0
2019-07-16,20:59:00,1564.3,1565.8,1565.7,1563,366,0
2019-07-16,21:59:00,1566,1566.5,1565.7,1565.3,297,0
2019-07-16,22:59:00,1565.6,1566.4,1566,1565.4,95,0
2019-07-16,23:59:00,1565.8,1566.7,1566.5,1565.8,105,0
2019-07-17,00:59:00,1566.5,1566.8,1566.3,1566,118,0
2019-07-17,01:59:00,1566.5,1566.6,1566.1,1565.4,449,0
2019-07-17,02:59:00,1566.1,1567.2,1566.5,1565.6,826,0
2019-07-17,03:59:00,1566.5,1567.8,1566.6,1566.5,475,0
2019-07-17,04:59:00,1566.7,1568.3,1568.3,1566.4,672,0
2019-07-17,05:59:00,1568.3,1568.5,1566.2,1565.2,673,0
2019-07-17,06:59:00,1566.3,1566.5,1566.1,1564.4,605,0
2019-07-17,07:59:00,1566.1,1566.3,1563.6,1563.5,1416,0
2019-07-17,08:59:00,1563.5,1565,1557.4,1553.6,18507,0
2019-07-17,09:59:00,1557.5,1559.9,1550.6,1548.2,18926,1
2019-07-17,10:59:00,1550.6,1562.6,1560.7,1550.6,14715,0
2019-07-17,11:59:00,1560.7,1561.1,1557.1,1556.7,7432,0
2019-07-17,12:59:00,1557.1,1559.6,1558.8,1555.9,4597,0
2019-07-17,13:59:00,1558.8,1559.1,1555.1,1554.7,6781,0
2019-07-17,14:59:00,1555.1,1556.8,1554.2,1552.7,14710,0
2019-07-17,15:59:00,1554.3,1555,1549.9,1549.6,12746,0
2019-07-17,16:00:00,1549.9,1550,1549.6,1549.6,62,0
2019-07-17,17:57:00,1549.4,1551.4,1551.1,1549,340,0
2019-07-17,18:59:00,1551.2,1551.3,1550.9,1550.1,394,0
2019-07-17,19:59:00,1550.9,1551.5,1547.9,1546.6,1307,0
2019-07-17,20:59:00,1547.9,1549.4,1548.3,1546.7,719,0
2019-07-17,21:59:00,1548.2,1549.8,1549.7,1547.2,470,0
2019-07-17,22:59:00,1549.5,1550.3,1549.3,1549,212,0
2019-07-17,23:55:00,1549.3,1549.4,1549.4,1548,251,0
2019-07-18,00:59:00,1549.4,1549.5,1548.1,1547.7,326,0
2019-07-18,01:59:00,1548.1,1550.2,1549.3,1548.1,569,0
2019-07-18,02:59:00,1549.3,1551.4,1551.1,1548.4,1104,0
2019-07-18,03:59:00,1551.1,1551.1,1549.8,1548.3,999,0
2019-07-18,04:59:00,1549.9,1553.3,1552.4,1549.5,1484,0
2019-07-18,05:59:00,1552.5,1554.7,1554.5,1551.9,1116,0
2019-07-18,06:59:00,1554.5,1555.2,1553.3,1553,1281,0
2019-07-18,07:59:00,1553.2,1555.9,1554.4,1553.1,2332,0
2019-07-18,08:59:00,1554.4,1555.4,1549.5,1548.4,19412,0
2019-07-18,09:59:00,1549.4,1554.2,1554.1,1548.1,17169,0
2019-07-18,10:59:00,1554.1,1555.3,1552,1548.3,10949,0
2019-07-18,11:59:00,1552,1558.8,1553.8,1550.8,11524,0
2019-07-18,12:59:00,1553.8,1555.2,1553.1,1552,5173,0
2019-07-18,13:59:00,1553.1,1559.4,1559.4,1552.9,6937,0
2019-07-18,14:59:00,1559.3,1561.3,1556.8,1555.6,12890,0
2019-07-18,15:59:00,1556.9,1562.4,1561,1556.4,12364,0
2019-07-18,16:00:00,1561,1561.7,1560.9,1560.8,43,0
2019-07-18,17:59:00,1560.6,1564.3,1558.6,1557.7,1796,0
2019-07-18,18:59:00,1558.6,1561,1559.4,1558.2,258,0
2019-07-18,19:59:00,1559.5,1562.9,1562.4,1559.4,458,0
2019-07-18,20:59:00,1562.5,1564.5,1564.1,1562.2,445,0
2019-07-18,21:59:00,1564.1,1564.7,1564.1,1563.3,317,0
2019-07-18,22:59:00,1564.1,1564.6,1562.3,1562.1,407,0
2019-07-18,23:58:00,1562.3,1562.8,1562.7,1561.9,213,0
2019-07-19,00:59:00,1562.9,1563.2,1562.4,1562.2,316,0
2019-07-19,01:59:00,1562.3,1562.3,1561.1,1560.9,578,0
2019-07-19,02:59:00,1561.1,1563.3,1562.8,1560.6,664,0
2019-07-19,03:59:00,1562.8,1564,1562.2,1561.6,794,0
2019-07-19,04:59:00,1562.3,1562.3,1558.3,1557.7,1460,0
2019-07-19,05:59:00,1558.2,1558.7,1556.5,1556.2,1438,0
2019-07-19,06:59:00,1556.6,1558.8,1558.2,1555.8,1410,0
2019-07-19,07:59:00,1558.2,1559.5,1559.2,1557.3,1998,0
2019-07-19,08:59:00,1559.2,1564,1561.9,1556.6,16818,0
2019-07-19,09:59:00,1561.8,1565.4,1562,1558.8,14481,0
2019-07-19,10:59:00,1561.9,1562.6,1560,1556.6,11108,0
2019-07-19,11:59:00,1560.1,1563.2,1560.9,1559.6,7223,0
2019-07-19,12:59:00,1560.9,1562.7,1561.7,1560.2,4200,0
2019-07-19,13:59:00,1561.8,1563.2,1557.4,1555.7,7190,0
2019-07-19,14:59:00,1557.5,1558.1,1551.5,1551,13715,0
2019-07-19,15:59:00,1551.6,1551.6,1546.4,1546,14603,0
2019-07-19,16:00:00,1546.4,1546.4,1545.6,1545.1,66,0
2019-07-21,17:59:00,1546.1,1549.8,1549.7,1545.7,597,0
2019-07-21,18:59:00,1549.7,1551.4,1550.7,1549.5,302,0
2019-07-21,19:58:00,1550.6,1551.2,1548.5,1548.3,455,0
2019-07-21,20:59:00,1548.6,1550,1548.6,1548,344,0
2019-07-21,21:58:00,1548.5,1549.5,1548.9,1548.2,215,0
2019-07-21,22:59:00,1548.8,1549.2,1548.6,1548.6,91,0
2019-07-21,23:58:00,1548.7,1549.2,1549.2,1548.6,87,0
2019-07-22,00:59:00,1549.2,1552.3,1549.8,1548.6,383,0
2019-07-22,01:59:00,1549.7,1551.6,1550.8,1549.5,440,0
2019-07-22,02:59:00,1550.7,1552.4,1550.5,1550.2,627,0
2019-07-22,03:59:00,1550.5,1554,1553.6,1550.3,515,0
2019-07-22,04:59:00,1553.7,1553.8,1553.1,1551.9,435,0
2019-07-22,05:59:00,1553.1,1555.7,1554.9,1552.4,1159,0
2019-07-22,06:59:00,1554.9,1555.2,1552.4,1552.3,1142,0
2019-07-22,07:59:00,1552.4,1555.2,1554,1550.5,2351,0
2019-07-22,08:59:00,1554,1557.9,1555.9,1548.3,14023,0
2019-07-22,09:59:00,1556,1557.2,1548.6,1546.2,13952,0
2019-07-22,10:59:00,1548.6,1551.8,1551.1,1544.6,12990,0
2019-07-22,11:59:00,1551.1,1553.5,1553.3,1546.9,7104,0
2019-07-22,12:59:00,1553.3,1553.3,1550.2,1549.7,4594,0
2019-07-22,13:59:00,1550.1,1551,1546.3,1545.7,6342,0
2019-07-22,14:59:00,1546.2,1550.2,1547.4,1545.1,14783,0
2019-07-22,15:59:00,1547.4,1549.4,1548,1546.7,10031,0
2019-07-22,16:00:00,1548,1548.2,1548.2,1547.3,57,0
2019-07-22,17:59:00,1547.9,1549,1548,1547.7,190,0
2019-07-22,18:59:00,1548.2,1549,1548.5,1547.9,141,0
2019-07-22,19:59:00,1548.4,1550.4,1549.2,1547.3,471,0
2019-07-22,20:59:00,1549.4,1551.5,1551.1,1549.3,335,0
2019-07-22,21:59:00,1551.1,1551.1,1549.7,1549.6,161,0
2019-07-22,22:58:00,1549.8,1550.2,1549.9,1549.5,119,0
2019-07-22,23:58:00,1549.7,1550,1549.4,1549.3,123,0
2019-07-23,00:59:00,1549.5,1549.7,1548.9,1548.3,174,0
2019-07-23,01:59:00,1548.7,1550.3,1550.2,1548.7,641,0
2019-07-23,02:58:00,1550.3,1551.4,1550.8,1549.9,839,0
2019-07-23,03:59:00,1550.8,1553.3,1553,1550.7,757,0
2019-07-23,04:59:00,1552.8,1552.9,1551.6,1551.3,857,0
2019-07-23,05:59:00,1551.6,1553.6,1552.8,1551.5,1035,0
2019-07-23,06:59:00,1552.8,1554.1,1552.9,1552.5,1256,0
2019-07-23,07:59:00,1552.9,1555.2,1554.7,1552.8,1423,0
2019-07-23,08:59:00,1554.7,1555.2,1553.2,1548.9,17556,0
2019-07-23,09:59:00,1553.1,1554.4,1549.7,1548.1,14622,0
2019-07-23,10:59:00,1549.7,1552,1550,1545.9,12900,0
2019-07-23,11:59:00,1550,1553.9,1553.7,1549,6595,0
2019-07-23,12:59:00,1553.5,1556.1,1554.5,1551.1,8705,0
2019-07-23,13:59:00,1554.4,1555.7,1555.5,1553,4453,0
