mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_low,mini_dow_close,mini_dow_volume,predict
2019-11-26,17:00:00,28122.0,28120.0,28109.0,28124.0,1661,0
2019-11-26,18:00:00,28119.0,28118.0,28106.0,28138.0,1861,0
2019-11-26,19:00:00,28118.0,28118.0,28107.0,28129.0,1222,0
2019-11-26,20:00:00,28119.0,28126.0,28116.0,28130.0,728,0
2019-11-26,21:00:00,28127.0,28134.0,28127.0,28140.0,1191,0
2019-11-26,22:00:00,28136.0,28136.0,28129.0,28140.0,578,0
2019-11-26,23:00:00,28136.0,28123.0,28121.0,28142.0,906,0
2019-11-27,00:00:00,28122.0,28125.0,28119.0,28130.0,769,0
2019-11-27,01:00:00,28124.0,28144.0,28122.0,28158.0,1809,0
2019-11-27,02:00:00,28143.0,28144.0,28124.0,28148.0,3359,0
2019-11-27,03:00:00,28145.0,28168.0,28140.0,28173.0,3000,0
2019-11-27,04:00:00,28168.0,28159.0,28155.0,28171.0,1610,0
2019-11-27,05:00:00,28159.0,28136.0,28135.0,28159.0,1380,0
2019-11-27,06:00:00,28136.0,28136.0,28127.0,28140.0,1959,0
2019-11-27,07:00:00,28137.0,28126.0,28119.0,28142.0,3406,0
2019-11-27,08:00:00,28126.0,28088.0,28066.0,28132.0,17276,0
2019-11-27,09:00:00,28088.0,28092.0,28058.0,28095.0,13225,0
2019-11-27,10:00:00,28092.0,28098.0,28079.0,28107.0,9424,0
2019-11-27,11:00:00,28098.0,28108.0,28090.0,28112.0,6208,0
2019-11-27,12:00:00,28107.0,28139.0,28104.0,28151.0,9714,0
2019-11-27,13:00:00,28140.0,28138.0,28132.0,28147.0,4543,0
2019-11-27,14:00:00,28138.0,28142.0,28125.0,28147.0,9240,0
2019-11-27,15:00:00,28142.0,28150.0,28137.0,28157.0,3935,0
2019-11-27,16:00:00,28151.0,28151.0,28149.0,28153.0,23,0
2019-11-27,17:00:00,28150.0,28077.0,28064.0,28158.0,3486,0
2019-11-27,18:00:00,28077.0,28075.0,28062.0,28093.0,2255,0
2019-11-27,19:00:00,28076.0,28086.0,28044.0,28089.0,2510,0
2019-11-27,20:00:00,28086.0,28081.0,28075.0,28090.0,1027,0
2019-11-27,21:00:00,28081.0,28075.0,28074.0,28083.0,647,0
