soybean_date,soybean_time,soybean_open,soybean_high,soybean_close,soybean_low,soybean_volume,predict
2020-09-02,07:45:00,946.5,950.25,949.75,946,3391,0
2020-09-02,08:59:00,949,952,948.75,948.25,14189,0
2020-09-02,09:59:00,948.75,957.25,955.25,948.5,23406,0
2020-09-02,10:59:00,955.5,961.75,961.75,954,16835,0
2020-09-02,11:59:00,961.5,962,958.75,957.5,10951,0
2020-09-02,12:59:00,958.75,961,960.25,958,11394,0
2020-09-02,13:20:00,960,963,962.75,959.75,10972,0
2020-09-02,19:59:00,962,966,964.5,961.75,5136,0
2020-09-02,20:59:00,964.25,965.25,965.25,963,1415,0
2020-09-02,21:59:00,965.25,965.25,964.75,964.25,688,0
2020-09-02,22:59:00,964.75,964.75,963.75,963,626,0
2020-09-02,23:58:00,963.75,963.75,962.5,962.25,459,0
2020-09-03,00:59:00,962.5,963,962.25,962,488,0
2020-09-03,01:59:00,962.25,962.5,961.25,960.75,1203,0
2020-09-03,02:59:00,961.25,964.5,964.5,961.25,1373,0
2020-09-03,03:59:00,964.5,964.5,963.75,963.5,2174,0
2020-09-03,04:59:00,963.75,966,965.5,963.5,969,0
2020-09-03,05:59:00,965.5,967,966.25,964.5,1790,0
2020-09-03,06:59:00,966.25,968.25,966.75,965.5,3542,0
2020-09-03,07:45:00,966.75,967,965.5,965,2425,0
2020-09-03,08:59:00,965,965.25,963.25,957.75,22676,0
2020-09-03,09:59:00,963.25,964.25,959.5,958,19215,0
2020-09-03,10:59:00,959.75,962.5,961.75,959,14781,0
2020-09-03,11:59:00,961.75,964.5,963.5,961,9414,0
2020-09-03,12:59:00,963.25,966.5,965.75,961.75,11416,0
2020-09-03,13:20:00,965.5,967,966.25,965.25,9153,0
2020-09-03,19:59:00,965,966.75,964.5,962.5,3692,0
2020-09-03,20:59:00,964.5,966.5,965.75,960.5,3765,0
2020-09-03,21:59:00,965.75,968.25,967.5,965.75,2227,0
2020-09-03,22:58:00,967.25,967.5,966.5,965.5,657,0
2020-09-03,23:59:00,966.25,967.25,967.25,966,282,0
2020-09-04,00:59:00,967.25,967.75,967,966.75,626,0
2020-09-04,01:59:00,967,967.75,967.5,966,1048,0
2020-09-04,02:59:00,967.25,968,967.5,966,1329,0
2020-09-04,03:59:00,967.5,969,968.5,967,1138,0
2020-09-04,04:59:00,968.5,969.5,969.5,968.25,2764,0
2020-09-04,05:59:00,969.25,969.5,967.5,967.25,1104,0
2020-09-04,06:59:00,967.5,967.75,967.25,966.25,1070,0
2020-09-04,07:45:00,967.5,968.25,968.25,967.25,1359,0
2020-09-04,08:59:00,968.25,969.5,966.75,965.5,13940,0
2020-09-04,09:59:00,966.75,968.5,968,966.5,14115,0
2020-09-04,10:59:00,968.25,968.25,968,964.75,11916,0
2020-09-04,11:59:00,968,968.25,967.75,967.25,6453,0
2020-09-04,12:59:00,968,968,967.5,966,8297,0
2020-09-04,13:20:00,967.75,969,969,967.25,7065,0
2020-09-07,19:59:00,970,974.75,974.5,969.75,10152,0
2020-09-07,20:59:00,974.75,976.5,974.25,974.25,6334,0
2020-09-07,21:58:00,974.25,975,973.75,973.5,1707,0
2020-09-07,22:59:00,973.5,974,973.25,971.5,2251,0
2020-09-07,23:57:00,973.5,973.75,973,972.75,200,0
2020-09-08,00:58:00,973,974.5,974.25,973,801,0
2020-09-08,01:59:00,974.5,976.5,976.25,974.25,2186,0
2020-09-08,02:57:00,976.25,977,976.25,975.75,1035,0
2020-09-08,03:59:00,976.25,977,974,973.75,1570,0
2020-09-08,04:59:00,974,975,973.25,972.5,1556,0
2020-09-08,05:59:00,973,973.25,969.75,968,3512,1
2020-09-08,06:59:00,969.75,969.75,964.5,963.75,3574,0
2020-09-08,07:45:00,964.5,967.25,963.5,961.75,6282,0
2020-09-08,08:59:00,963.75,973.75,967.5,963.5,26967,0
2020-09-08,09:59:00,967.25,970.75,967.5,966.5,16493,0
2020-09-08,10:59:00,967.5,971,968.5,967,9545,0
2020-09-08,11:59:00,968.75,974.5,973.5,968.25,10584,0
2020-09-08,12:59:00,973.5,974,971.5,971.25,8420,0
2020-09-08,13:20:00,971.75,974.25,974,971.75,6881,0
2020-09-08,19:59:00,972,973.75,970.75,970,3689,0
2020-09-08,20:59:00,971,971,970.25,968.5,2159,0
2020-09-08,21:59:00,970.5,971.25,970,969,1383,0
2020-09-08,22:59:00,970,971,970.75,969.75,452,0
2020-09-08,23:59:00,971,972,971.5,970.75,289,0
2020-09-09,00:56:00,971.25,972.5,972,971.25,386,0
2020-09-09,01:59:00,972.25,972.25,969.75,969.5,666,0
2020-09-09,02:59:00,969.75,973.75,973.25,969.75,1512,0
2020-09-09,03:59:00,973.25,976,974.5,973,2255,0
2020-09-09,04:58:00,974.25,974.25,972.25,972.25,1095,0
2020-09-09,05:59:00,972.25,975,974.5,972.25,733,0
2020-09-09,06:59:00,974.5,974.75,974.5,973.25,1201,0
2020-09-09,07:45:00,974.25,978,977.25,974,3887,0
2020-09-09,08:59:00,976,979.75,978,974.75,14060,0
2020-09-09,09:59:00,977.75,979.5,975.75,975,15624,0
2020-09-09,10:59:00,976,977,976.75,973.25,12100,0
2020-09-09,11:59:00,977,981.75,978,976.75,18308,0
2020-09-09,12:59:00,978.25,978.75,976.75,976,6419,0
2020-09-09,13:20:00,976.75,979.5,979.25,976.25,8075,0
2020-09-09,19:59:00,978.75,980,979.25,978,2894,0
2020-09-09,20:58:00,979.25,979.75,978.25,977.5,1570,0
2020-09-09,21:59:00,978.5,978.5,977.75,976.75,1327,0
2020-09-09,22:56:00,977.75,977.75,976.25,976.25,606,0
2020-09-09,23:58:00,976.5,977.5,977.5,976.25,555,0
2020-09-10,00:59:00,977.5,978.25,977.5,977,574,0
2020-09-10,01:59:00,977.5,977.5,976.25,975.5,1371,0
2020-09-10,02:59:00,976.25,977.25,975.75,975.5,574,0
2020-09-10,03:58:00,975.75,976.25,975.75,975,444,0
2020-09-10,04:59:00,975.5,977.5,976,975.25,1061,0
2020-09-10,05:59:00,976,976.75,976,974.25,1069,0
2020-09-10,06:59:00,976,978.75,978.25,975.75,1268,0
2020-09-10,07:45:00,978.25,979.75,979.75,977,1459,0
2020-09-10,08:59:00,979,979.75,979,975.5,12122,0
2020-09-10,09:59:00,978.75,982,977.75,977.5,17449,0
2020-09-10,10:59:00,977.75,979.75,977.75,977.5,8096,0
2020-09-10,11:59:00,978,978.5,977,976.5,6475,0
2020-09-10,12:59:00,976.75,978.5,977.25,976.5,7069,0
2020-09-10,13:20:00,977.25,978.25,977.75,976.75,6492,0
2020-09-10,19:59:00,977,978,977,976.5,1974,0
2020-09-10,20:59:00,977,977.5,975.25,975,1716,0
2020-09-10,21:59:00,975,980.5,980.5,975,3445,0
2020-09-10,22:56:00,980.25,981,980.5,979.5,1417,0
2020-09-10,23:59:00,980.25,980.5,980.5,980,487,0
2020-09-11,00:59:00,980.5,983.75,982.75,980.25,2448,0
2020-09-11,01:59:00,983,986.5,986,982.25,4567,0
2020-09-11,02:59:00,986,987.5,985.5,983.75,3283,0
2020-09-11,03:58:00,985.75,987.25,985,984.75,1349,0
2020-09-11,04:59:00,985,986.25,985.5,985,978,0
2020-09-11,05:59:00,985.5,986.25,984,983.25,1242,0
2020-09-11,06:59:00,984,984.5,983.25,981.5,2265,0
2020-09-11,07:45:00,983.25,984.25,983.5,982.75,2125,0
2020-09-11,08:59:00,984.5,987.5,984.75,984.5,12361,0
2020-09-11,09:59:00,985,989,988.5,984.5,16553,0
2020-09-11,10:59:00,988.5,988.75,987.5,986.5,17091,0
2020-09-11,11:59:00,987.5,998,991.5,985.5,55496,0
2020-09-11,12:59:00,991.5,993.5,993.25,990,13779,0
2020-09-11,13:20:00,993,997.5,997.5,993,15519,0
2020-09-13,19:59:00,996,1002,1000.5,996,8946,0
2020-09-13,20:59:00,1000.25,1008.75,1007.75,998,8022,0
2020-09-13,21:59:00,1008,1008.25,1004.25,1003.5,3241,0
2020-09-13,22:59:00,1004.25,1006.25,1004.25,1003.5,1479,0
2020-09-13,23:58:00,1004.25,1004.75,1003,1002.5,1057,0
2020-09-14,00:59:00,1002.75,1003.75,1002.25,1001,2072,0
2020-09-14,01:58:00,1002.25,1003.75,1003.25,1002,1178,0
2020-09-14,02:59:00,1003.25,1004,1002.75,1002.75,1089,0
2020-09-14,03:59:00,1002.5,1003,1002.75,1001.25,1108,0
2020-09-14,04:59:00,1002.75,1003.25,1001.5,1001.25,876,0
2020-09-14,05:59:00,1001.5,1001.5,1001,998.25,2585,0
2020-09-14,06:59:00,1001.25,1001.25,999.25,999,1153,0
2020-09-14,07:45:00,999.25,1000.25,999.75,998.75,1510,0
2020-09-14,08:59:00,1002.25,1003.25,1002.5,1000,18301,0
2020-09-14,09:59:00,1002.5,1003,1000.5,999.25,17680,0
2020-09-14,10:59:00,1000.5,1001.5,999.75,999,8905,0
2020-09-14,11:59:00,999.5,1001.75,1001,998.5,7714,0
2020-09-14,12:59:00,1000.75,1001.25,1000.25,999.5,7080,0
2020-09-14,13:20:00,1000.25,1000.75,998.5,998.25,8594,0
2020-09-14,19:59:00,1001,1003.5,1000.75,1000,4462,0
2020-09-14,20:59:00,1000.75,1002.75,1002.25,999,3192,0
2020-09-14,21:59:00,1002.25,1004,1003.5,1002.25,1805,0
2020-09-14,22:59:00,1003.25,1003.75,1003.75,1003.25,596,0
2020-09-14,23:58:00,1003.5,1004,1003,1002.5,238,0
2020-09-15,00:59:00,1003,1004,1003.75,1002.75,693,0
2020-09-15,01:59:00,1004,1005.75,1003.75,1003.25,2581,0
2020-09-15,02:59:00,1003.5,1004,1003.5,1003,520,0
2020-09-15,03:59:00,1003.5,1005,1004,1003,866,0
2020-09-15,04:59:00,1004,1005.25,1005,1003.75,701,0
2020-09-15,05:59:00,1005,1005.5,1005.25,1004.25,552,0
2020-09-15,06:59:00,1005.5,1005.5,1003.75,1003.75,1010,0
2020-09-15,07:45:00,1003.75,1004.5,1002,1001.25,2399,1
2020-09-15,08:59:00,1002,1003,994.25,991.5,26804,0
2020-09-15,09:59:00,994.25,995.75,993.75,992.5,15251,0
2020-09-15,10:59:00,993.5,993.75,990.5,990.5,13894,0
2020-09-15,11:59:00,990.75,993,992.75,990.25,9330,0
2020-09-15,12:59:00,992.75,993.75,992.25,992.25,5888,0
2020-09-15,13:20:00,992.25,992.75,992,991,7596,1
2020-09-15,19:59:00,991,991,986,985,7311,0
2020-09-15,20:59:00,986.25,989,989,986.25,2145,0
2020-09-15,21:59:00,989,992,989.5,988.75,2242,0
2020-09-15,22:59:00,989.5,990.25,990,989,968,0
